meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
96,The Legend of Zelda: Tears of the Kingdom,Switch,"May 12, 2023",8.2,/game/switch/the-legend-of-zelda-tears-of-the-kingdom,E10+,['Nintendo'],"['Action Adventure', 'Open-World']"
81,The Legend of Zelda: Skyward Sword HD,Switch,"Jul 16, 2021",7.3,/game/switch/the-legend-of-zelda-skyward-sword-hd,E10+,"['Tantalus', ' Nintendo']","['Action Adventure', 'Open-World']"
,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - Complete Edition,Switch,"Oct 23, 2020",8.8,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---complete-edition,E,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 3 Story Pack: Symphony of the Mask,Switch,"Sep 23, 2020",,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---dlc-3-story-pack-symphony-of-the-mask,E,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 2 Melody Pack,Switch,"Aug 26, 2020",,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---dlc-2-melody-pack,E,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 1 Character Pack,Switch,"Jul 20, 2020",,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---dlc-1-character-pack,E,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
87,The Legend of Zelda: Link's Awakening,Switch,"Sep 20, 2019",8.4,/game/switch/the-legend-of-zelda-links-awakening,E,"['Nintendo', ' GREZZO']","['Action Adventure', 'Open-World']"
85,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,Switch,"Jun 13, 2019",8.0,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda,E,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
81,The Legend of Zelda: Breath of the Wild - The Champions' Ballad,Switch,"Dec 7, 2017",8.5,/game/switch/the-legend-of-zelda-breath-of-the-wild---the-champions-ballad,E10+,['Nintendo'],"['Action Adventure', 'Open-World']"
,The Legend of Zelda: Breath of the Wild - The Champions' Ballad,WIIU,"Dec 7, 2017",9.0,/game/wii-u/the-legend-of-zelda-breath-of-the-wild---the-champions-ballad,E10+,['Nintendo'],"['Action Adventure', 'Open-World']"
,Monster Hunter Stories: The Legend of Zelda,3DS,"Sep 28, 2017",,/game/3ds/monster-hunter-stories-the-legend-of-zelda,E10+,['Capcom'],"['Role-Playing', 'Action RPG', 'Japanese-Style']"
78,The Legend of Zelda: Breath of the Wild - The Master Trials,Switch,"Jun 30, 2017",7.7,/game/switch/the-legend-of-zelda-breath-of-the-wild---the-master-trials,E10+,['Nintendo'],"['Action Adventure', 'Open-World']"
,The Legend of Zelda: Breath of the Wild - The Master Trials,WIIU,"Jun 30, 2017",8.6,/game/wii-u/the-legend-of-zelda-breath-of-the-wild---the-master-trials,E10+,['Nintendo'],"['Action Adventure', 'Open-World']"
96,The Legend of Zelda: Breath of the Wild,WIIU,"Mar 3, 2017",8.3,/game/wii-u/the-legend-of-zelda-breath-of-the-wild,E10+,['Nintendo'],"['Fantasy', 'Fantasy', 'Action Adventure', 'Open-World']"
97,The Legend of Zelda: Breath of the Wild,Switch,"Mar 3, 2017",8.7,/game/switch/the-legend-of-zelda-breath-of-the-wild,E10+,['Nintendo'],"['Action Adventure', 'Open-World']"
,My Nintendo Picross - The Legend of Zelda: Twilight Princess,3DS,"Mar 30, 2016",7.9,/game/3ds/my-nintendo-picross---the-legend-of-zelda-twilight-princess,E,['Nintendo'],"['Puzzle', 'Logic']"
86,The Legend of Zelda: Twilight Princess HD,WIIU,"Mar 4, 2016",8.6,/game/wii-u/the-legend-of-zelda-twilight-princess-hd,T,"['Tantalus', ' Tantatus', ' Nintendo']","['Action Adventure', 'General', 'Open-World']"
73,The Legend of Zelda: Tri Force Heroes,3DS,"Oct 23, 2015",7.2,/game/3ds/the-legend-of-zelda-tri-force-heroes,E,['Nintendo'],"['Action Adventure', 'Open-World']"
89,The Legend of Zelda: Majora's Mask 3D,3DS,"Feb 13, 2015",8.9,/game/3ds/the-legend-of-zelda-majoras-mask-3d,E10+,['GREZZO'],"['Fantasy', 'Action Adventure', 'Open-World']"
91,The Legend of Zelda: A Link Between Worlds,3DS,"Nov 22, 2013",9.0,/game/3ds/the-legend-of-zelda-a-link-between-worlds,E,['Nintendo'],"['Action RPG', 'Role-Playing', 'Action Adventure', 'General', 'Action RPG', 'Open-World']"
90,The Legend of Zelda: The Wind Waker HD,WIIU,"Sep 20, 2013",9.0,/game/wii-u/the-legend-of-zelda-the-wind-waker-hd,E10+,"['Nintendo', ' HexaDrive']","['Action Adventure', 'Fantasy', 'Fantasy', 'Open-World']"
,The Legend of Zelda: Link's Awakening DX,3DS,TBA 2011,,/game/3ds/the-legend-of-zelda-links-awakening-dx,,['Nintendo'],"['Action Adventure', 'Fantasy']"
93,The Legend of Zelda: Skyward Sword,WII,"Nov 20, 2011",8.1,/game/wii/the-legend-of-zelda-skyward-sword,E10+,['Nintendo'],"['Fantasy', 'General', 'Fantasy', 'Action Adventure', 'Open-World']"
85,The Legend of Zelda: Four Swords Anniversary Edition,DS,"Sep 28, 2011",7.5,/game/ds/the-legend-of-zelda-four-swords-anniversary-edition,E10+,['GREZZO'],"['Action Adventure', 'Fantasy', 'General', 'Fantasy']"
